kind,etag,id.kind,id.videoId,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.liveBroadcastContent,snippet.publishTime
youtube#searchResult,5_f-VmR-eFR5PC6nfbYq1X2Gskk,youtube#video,OMrvgqKncz8,2020-07-18T17:00:06Z,UC_zEzzq54Rm0iy7lmmZbCIg,"OMG, The WHOLE DOOR Came OFF! 😅 | Funny FAILS | AFV 2020",Subscribe to join the #AFVFAM http://bit.ly/afvyoutube | Make sure to enable ALL push notifications! Check out out MERCH store: https://bit.ly/2UJJULn ...,https://i.ytimg.com/vi/OMrvgqKncz8/default.jpg,120,90,https://i.ytimg.com/vi/OMrvgqKncz8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/OMrvgqKncz8/hqdefault.jpg,480,360,America's Funniest Home Videos,none,2020-07-18T17:00:06Z
youtube#searchResult,yetz58Pcey3lUXRckyN1qp3K_CM,youtube#video,p5C41AFtAgA,2020-07-19T14:00:28Z,UC09IvZwjpunzrdHH1EHok-w,Funniest Dogs 🐶 And Cats 😹 -Try Not To Laugh Challenge 2020,Enjoy new funniest and very cute video of the week about try not laugh funny animals' life video. But some cats in this video will actually surprise you! Dogs are ...,https://i.ytimg.com/vi/p5C41AFtAgA/default.jpg,120,90,https://i.ytimg.com/vi/p5C41AFtAgA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/p5C41AFtAgA/hqdefault.jpg,480,360,Funny Animals' Life,none,2020-07-19T14:00:28Z
youtube#searchResult,UdeOz7ylaCuRdami7r3HaIDwVxY,youtube#video,DWXwTleHdhc,2020-07-19T04:30:01Z,UCod_t2sXD_gRI11yFFGkoXg,New Funny Videos 2020 ● People doing stupid things P148,"Hi my friends, please check our new compilation. Here is moments people funny videos and we hope that this video make your life more fun & you enjoy it ...",https://i.ytimg.com/vi/DWXwTleHdhc/default.jpg,120,90,https://i.ytimg.com/vi/DWXwTleHdhc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DWXwTleHdhc/hqdefault.jpg,480,360,Vines best fun,none,2020-07-19T04:30:01Z
youtube#searchResult,DgVeKx7hyQheWOjfVZfzYUbcMQc,youtube#video,i0cQDmNaLFE,2020-07-19T11:18:26Z,UCsvAmubKx86Js7qxjZOol2g,Funny vegetables are out of the fridge love to tease each other - Goodland,"Goodland is a fun channel where ordinary objects come to life! Here chewing gum, toothpaste, as well as vegetables and fruits can talk and joke with each other.",https://i.ytimg.com/vi/i0cQDmNaLFE/default_live.jpg,120,90,https://i.ytimg.com/vi/i0cQDmNaLFE/mqdefault_live.jpg,320,180,https://i.ytimg.com/vi/i0cQDmNaLFE/hqdefault_live.jpg,480,360,GOODLAND,live,2020-07-19T11:18:26Z
youtube#searchResult,Z8A7-CV8gqrUM69TrUnlt-lCSic,youtube#video,2kf2C-Z0afo,2020-07-17T17:00:01Z,UC_zEzzq54Rm0iy7lmmZbCIg,FAIL Like Nobody&#39;s WATCHING! 😂 | Funny Videos | AFV 2020,Subscribe to join the #AFVFAM http://bit.ly/afvyoutube | Make sure to enable ALL push notifications! Check out out MERCH store: https://bit.ly/2UJJULn ...,https://i.ytimg.com/vi/2kf2C-Z0afo/default.jpg,120,90,https://i.ytimg.com/vi/2kf2C-Z0afo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2kf2C-Z0afo/hqdefault.jpg,480,360,America's Funniest Home Videos,none,2020-07-17T17:00:01Z
youtube#searchResult,ibyJsQoqPBQYGJhd5GDI3gqudeE,youtube#video,6enCIZ8g_jI,2020-07-19T19:00:01Z,UCUk7VggtJdo9XYTy3Z5QVAw,Living in a Minecraft Candy World!,We enter the world of sweets... can we make it our home? ▻ Subscribe & never miss a video! http://bit.ly/Funneh ▻ Previous Videos! http://bit.ly/Krewvideos ...,https://i.ytimg.com/vi/6enCIZ8g_jI/default.jpg,120,90,https://i.ytimg.com/vi/6enCIZ8g_jI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6enCIZ8g_jI/hqdefault.jpg,480,360,ItsFunneh,none,2020-07-19T19:00:01Z
youtube#searchResult,YiwQ2V9dlU0i1o8D5C-0EWn_s5U,youtube#video,kTtxr0tBARo,2020-07-18T00:13:43Z,UC_zEzzq54Rm0iy7lmmZbCIg,[2 Hour] Epic Try Not to Laugh Challenge! | Funniest Videos | AFV July 2020,Subscribe to join the #AFVFAM http://bit.ly/afvyoutube | Make sure to enable ALL push notifications! Check out out MERCH store: https://bit.ly/2UJJULn Try ...,https://i.ytimg.com/vi/kTtxr0tBARo/default.jpg,120,90,https://i.ytimg.com/vi/kTtxr0tBARo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/kTtxr0tBARo/hqdefault.jpg,480,360,America's Funniest Home Videos,none,2020-07-18T00:13:43Z
youtube#searchResult,sqjugBTvIWY3M5gd425W0C-gdTU,youtube#video,QhlHl15l3Qs,2020-07-18T16:00:07Z,UCd07rKJ7Q0pg5ths7Pz8k8Q,TRY NOT TO LAUGH - Funny SUMMER Fails,"2 Fail videos in 1 week?! Yep! I present to you Summer Fails! LIKE, COMMENT, SUB, TELL YOUR FRIENDS! Be Safe ♥️ Subscribe for more Funny Vines ...",https://i.ytimg.com/vi/QhlHl15l3Qs/default.jpg,120,90,https://i.ytimg.com/vi/QhlHl15l3Qs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/QhlHl15l3Qs/hqdefault.jpg,480,360,Funny Vines,none,2020-07-18T16:00:07Z
youtube#searchResult,Qj7UoQBjb9GgcEMcDEyPkHGdkBc,youtube#video,P6vxhOXuW28,2020-07-15T17:00:06Z,UC_zEzzq54Rm0iy7lmmZbCIg,We KNOW How This FAILS! 😅 | Funny Videos | AFV 2020,Subscribe to join the #AFVFAM http://bit.ly/afvyoutube | Make sure to enable ALL push notifications! Check out out MERCH store: https://bit.ly/2UJJULn ...,https://i.ytimg.com/vi/P6vxhOXuW28/default.jpg,120,90,https://i.ytimg.com/vi/P6vxhOXuW28/mqdefault.jpg,320,180,https://i.ytimg.com/vi/P6vxhOXuW28/hqdefault.jpg,480,360,America's Funniest Home Videos,none,2020-07-15T17:00:06Z
youtube#searchResult,ZSQGQxoBybLLA2zYTbbTP3jS4Z4,youtube#video,3W9ck1YVx2I,2020-07-17T16:00:01Z,UCd07rKJ7Q0pg5ths7Pz8k8Q,TRY NOT TO LAUGH - Funny Fail Videos,My favorite people! We're back again with another fails video for ya. Next week's fails video is one chosen by you the fans! Be on the lookout for that. Enjoy! LIKE ...,https://i.ytimg.com/vi/3W9ck1YVx2I/default.jpg,120,90,https://i.ytimg.com/vi/3W9ck1YVx2I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3W9ck1YVx2I/hqdefault.jpg,480,360,Funny Vines,none,2020-07-17T16:00:01Z
